Devin Harris,167,374,52,158,101,140,138,118,60,13,66,487,2016,2.5,13.1,124
Raymond Felton,277,682,60,213,149,176,258,284,68,15,121,763,2016,2.7,11.9,141
Jeremy Evans,26,48,4,16,15,21,54,2,6,9,7,71,2016,0.6,12.6,19
J.J. Barea,317,711,100,260,74,96,152,302,26,2,113,808,2016,2.8,15.4,110
Justin Anderson,71,175,22,83,44,55,132,29,19,25,24,208,2016,1.1,12.3,45
Axel Toupane,25,70,13,40,13,17,31,15,7,6,6,76,2016,0.3,7.1,40
Kostas Papanikolaou,24,66,10,32,9,14,40,16,13,5,21,67,2016,-0.1,6,24
Jusuf Nurkic,101,242,0,3,61,99,175,40,24,44,55,263,2016,0.4,15.9,91
Jameer Nelson,113,307,43,144,30,35,115,190,25,5,66,299,2016,0.5,9.5,100
Emmanuel Mudiay,329,905,74,232,140,209,232,372,65,35,217,872,2016,-2.1,9.9,141
Mike Miller,22,62,19,52,0,0,53,40,13,4,17,63,2016,0.3,6.5,53
Joffrey Lauvergne,195,380,13,53,62,69,290,56,13,15,54,465,2016,2.3,15.7,115
Nikola Jokic,307,600,28,84,154,190,560,189,79,50,104,796,2016,6.7,21.5,208
Gary Harris,359,765,105,297,109,133,220,147,97,18,98,932,2016,4,12.7,143
Danilo Gallinari,287,700,87,239,375,432,281,135,42,19,77,1036,2016,6.3,19,87
Kenneth Faried,349,626,1,2,136,222,581,79,32,60,91,835,2016,5.5,21,169
Will Barton,425,983,112,325,216,268,476,203,71,39,139,1178,2016,4.3,16,147
Darrell Arthur,221,489,45,117,40,53,293,96,53,48,66,527,2016,2.3,12.5,185
Anthony Tolliver,128,332,98,272,29,47,229,52,26,16,28,383,2016,2.8,10.2,86
Marcus Morris,410,945,108,298,203,271,404,201,67,23,140,1131,2016,5.4,12.7,170
Jodie Meeks,7,20,4,9,4,4,5,3,0,0,1,22,2016,0.1,13.5,2
Stanley Johnson,225,600,63,205,80,102,306,118,55,12,114,593,2016,0.6,8.7,178
Reggie Jackson,540,1244,118,334,291,337,253,492,59,11,223,1489,2016,6.9,19.6,187
Darrun Hilliard,52,131,19,50,29,40,45,27,9,1,19,152,2016,0.5,10.7,28
Justin Harper,4,10,4,9,1,2,1,0,1,0,2,13,2016,0,6.9,3
Andre Drummond,552,1060,2,6,208,586,1198,67,119,112,155,1314,2016,7.4,21.3,245
Spencer Dinwiddie,19,54,1,10,19,33,17,22,3,0,7,58,2016,0.1,8.9,20
Kentavious Caldwell-Pope,403,960,114,369,185,228,282,138,110,17,105,1105,2016,5.3,12.4,167
Reggie Bullock,43,98,22,53,14,15,68,27,10,2,8,122,2016,1.2,12,29
Steve Blake,93,240,52,151,16,20,89,200,24,5,81,254,2016,1.1,9.8,70
Aron Baynes,194,384,0,2,126,165,384,51,21,52,67,514,2016,4.1,17.8,151
Joel Anthony,6,10,0,0,6,8,21,1,2,12,2,18,2016,0.4,14.1,15
Klay Thompson,651,1386,276,650,193,221,306,166,60,49,138,1771,2016,8,18.6,152
Marreese Speights,197,456,24,62,94,114,239,61,19,34,66,512,2016,1.8,17.1,117
Brandon Rush,111,260,65,157,18,28,181,57,20,23,33,305,2016,2,10.1,57
James Michael McAdoo,45,84,1,2,26,49,58,17,10,8,16,117,2016,0.8,15.9,39
Kevon Looney,4,7,1,2,0,0,10,0,0,0,1,9,2016,0.1,18.6,2
Shaun Livingston,203,379,2,12,80,93,169,237,57,27,78,488,2016,4.6,13.8,140
Andre Iguodala,176,368,54,154,51,83,263,219,73,19,79,457,2016,4.4,12.2,102
Draymond Green,401,819,100,258,229,329,769,598,120,113,259,1131,2016,11.1,19.3,240
Festus Ezeli,125,228,0,0,70,132,257,32,18,50,38,320,2016,2.7,17.7,94
Stephen Curry,805,1598,402,886,363,400,430,527,169,15,262,2375,2016,17.9,31.5,161
Ian Clark,89,202,30,84,28,34,68,64,17,13,43,236,2016,0.9,11.5,58
Andrew Bogut,175,279,1,1,24,50,492,162,32,114,83,375,2016,5.4,15.8,221
Harrison Barnes,295,633,82,214,102,134,325,117,41,10,57,774,2016,4.9,12.3,136
Leandro Barbosa,171,370,39,110,52,62,117,82,44,10,53,433,2016,2.1,11.7,107
Jason Terry,151,376,93,261,27,33,79,103,47,9,49,422,2016,1.5,10.2,91
Donatas Motiejunas,90,205,16,57,34,53,109,41,17,5,44,230,2016,0.3,11.3,69
K.J. McDaniels,29,72,7,25,24,30,42,10,7,6,17,89,2016,0.2,10.6,30
Terrence Jones,166,367,25,79,77,116,211,41,23,39,49,434,2016,1.5,13.5,86
Dwight Howard,372,600,0,6,232,474,835,98,69,113,166,976,2016,6.6,18.9,219
Chuck Hayes,1,2,0,0,2,2,8,2,0,0,3,4,2016,0,1.6,6
Montrezl Harrell,58,90,0,1,24,46,65,17,11,11,17,140,2016,0.9,14.6,48
James Harden,710,1617,236,657,720,837,501,612,139,51,374,2376,2016,13.3,25.3,229
Andrew Goudelock,9,20,1,9,3,4,2,4,6,2,7,22,2016,0,12.4,4
Sam Dekker,0,0,0,0,0,0,1,0,1,0,0,0,2016,0,10.8,0
Clint Capela,231,397,0,1,80,211,494,47,59,92,60,542,2016,4.4,18.3,190
Corey Brewer,212,552,61,224,105,140,199,109,84,19,78,590,2016,1.2,9.9,168
Patrick Beverley,258,594,124,310,60,88,250,239,94,26,91,700,2016,4.4,13,234
Michael Beasley,107,205,3,9,38,49,98,16,11,9,24,255,2016,1,22.5,39
Trevor Ariza,357,859,185,499,126,161,366,188,160,26,113,1025,2016,5.4,12.9,177
Joseph Young,62,169,10,46,20,25,50,65,15,0,33,154,2016,-0.1,9.9,30
Shayne Whittington,5,11,0,2,1,2,12,3,1,1,5,11,2016,0,7.4,7
Myles Turner,264,530,3,14,88,121,332,41,25,86,67,619,2016,3.1,15.4,158
Rodney Stuckey,183,443,20,83,131,158,156,142,43,8,76,517,2016,2,12.6,77
Glenn Robinson III,65,151,14,37,27,39,68,26,17,9,18,171,2016,0.8,11.4,21
C.J. Miles,259,634,142,387,93,124,175,63,53,29,70,753,2016,3.1,14,142
Ian Mahinmi,264,448,0,0,132,225,507,104,65,75,100,660,2016,6.2,16.6,220
Solomon Hill,93,208,24,74,36,42,166,57,37,11,33,246,2016,2.1,12.2,68
Jordan Hill,278,549,0,1,89,125,451,87,36,37,92,645,2016,3.9,16.4,155
George Hill,326,740,128,315,114,150,298,259,83,17,101,894,2016,6.2,13.2,149
Paul George,605,1448,210,565,454,528,563,329,152,29,265,1874,2016,9.2,20.9,230
Monta Ellis,436,1021,87,282,162,206,271,383,150,37,203,1121,2016,4.3,13.7,174
Rakeem Christmas,2,2,0,0,0,0,1,0,0,0,0,4,2016,0,32,1
Lavoy Allen,191,370,0,0,46,73,424,76,26,42,69,428,2016,3.7,12.4,147
C.J. Wilcox,26,66,9,23,9,12,12,10,10,2,2,70,2016,0.3,12.9,15
Austin Rivers,226,516,62,185,79,116,130,99,48,9,61,593,2016,1.9,11.1,137
J.J. Redick,422,880,200,421,182,205,139,106,42,5,78,1226,2016,6.7,17.5,135
Pablo Prigioni,55,147,28,95,7,8,114,130,53,1,49,145,2016,1.5,10.2,82
Paul Pierce,144,397,75,242,54,66,186,71,33,17,58,417,2016,0.9,8.2,129
Chris Paul,515,1114,122,329,294,328,310,738,152,13,194,1446,2016,12.7,26.2,185
Luc Mbah a Moute,94,207,13,40,30,57,171,30,44,19,34,231,2016,1.6,7.3,100
DeAndre Jordan,357,508,0,1,266,619,1059,90,51,177,107,980,2016,11.5,20.6,207
Wesley Johnson,208,515,103,309,30,46,248,49,89,56,54,549,2016,2.6,11,173
Blake Griffin,301,603,6,18,141,194,294,170,28,17,83,749,2016,3.8,22.1,95
Branden Dawson,2,5,0,0,1,1,4,0,0,1,0,5,2016,0,7.1,2
Jamal Crawford,379,939,117,344,245,271,145,183,52,12,113,1120,2016,3.3,14,122
Jeff Ayres,12,23,0,1,6,6,22,5,0,3,6,30,2016,0.2,8.3,18
Cole Aldrich,134,225,0,0,60,84,288,50,47,68,64,328,2016,3.5,21.3,139
Nick Young,126,372,77,237,63,76,97,34,23,7,30,392,2016,0.1,9.1,50
Metta World Peace,55,177,26,84,40,57,89,27,22,11,15,176,2016,0.1,8.3,67
Lou Williams,283,693,110,320,352,424,169,167,62,19,107,1028,2016,4.7,17.7,107
Robert Sacre,31,75,0,0,25,38,72,14,4,10,12,87,2016,0.3,10.4,43
D'Angelo Russell,392,956,130,370,140,190,274,266,93,13,196,1054,2016,0,13.2,142
Julius Randle,358,835,10,36,193,270,829,144,53,29,149,919,2016,1.6,13.9,242
Larry Nance Jr.,158,300,1,10,32,47,312,44,54,23,41,349,2016,2.2,13.4,124
Ryan Kelly,55,149,5,37,37,54,121,20,13,10,18,152,2016,0.1,10.3,39
Marcelo Huertas,97,230,16,61,27,29,90,182,26,7,80,237,2016,-0.1,10.4,76
Roy Hibbert,182,411,0,2,117,145,398,95,32,110,76,481,2016,2.2,11.2,252
Jordan Clarkson,475,1098,111,320,164,204,313,192,88,7,135,1225,2016,2.1,14.3,168
Kobe Bryant,398,1113,133,467,232,281,247,184,62,13,129,1161,2016,-0.4,14.9,115
Anthony Brown,39,126,20,70,17,20,70,19,14,5,15,115,2016,-0.3,4.9,34
Tarik Black,57,104,0,0,19,45,157,16,14,18,22,133,2016,0.7,12.3,78
Brandon Bass,174,317,0,2,125,148,285,74,33,55,42,473,2016,4.1,17.4,125
Brandan Wright,35,52,0,0,13,24,43,6,5,15,10,83,2016,0.7,18.3,21
Elliot Williams,2,10,1,4,3,4,4,4,0,0,1,8,2016,0,3.3,2
Russ Smith,7,22,1,5,8,13,9,11,5,1,7,23,2016,-0.1,10.5,5
Zach Randolph,431,907,6,26,172,216,529,142,43,13,105,1040,2016,4.3,18.3,146
Xavier Munford,32,77,9,23,7,14,31,22,13,3,15,80,2016,0.1,9.9,25
Jarell Martin,54,116,0,2,45,62,86,15,8,7,19,153,2016,0.8,14,58
JaMychal Green,230,495,15,45,103,137,373,67,46,33,83,578,2016,2.6,14.6,189
Marc Gasol,328,707,2,3,203,245,362,196,50,70,118,861,2016,3.7,17.7,141
Jordan Farmar,42,100,16,45,10,10,25,37,15,2,18,110,2016,0.4,13.2,22
Mike Conley,294,696,78,215,191,229,164,342,67,16,84,857,2016,5.3,19.4,100
Vince Carter,133,343,59,169,70,84,146,56,38,16,35,395,2016,1.8,12.7,101
Matt Barnes,264,693,119,370,111,138,420,163,78,57,121,758,2016,2.6,11.7,234
Tony Allen,215,469,15,42,90,138,296,70,110,18,78,535,2016,2.4,12.9,175
Jordan Adams,2,6,0,1,3,5,2,3,3,0,2,7,2016,0,17.3,2
Justise Winslow,195,462,32,116,80,117,403,117,68,26,95,502,2016,2.5,8.4,184
Hassan Whiteside,413,682,0,0,214,329,865,30,44,269,137,1040,2016,10.3,25.7,201
Dwyane Wade,540,1183,7,44,322,406,302,344,79,42,203,1409,2016,4.9,20.3,116
Amar'e Stoudemire,125,221,0,0,50,67,222,27,18,41,47,300,2016,2.4,17.3,92
Josh Richardson,123,272,53,115,42,63,107,73,36,25,35,341,2016,2.5,11.4,107
Josh McRoberts,55,148,12,49,28,40,105,81,18,7,30,150,2016,0.8,9.9,68
Tyler Johnson,118,242,27,70,51,64,109,79,24,14,47,314,2016,2.1,13.8,66
Udonis Haslem,23,61,1,9,12,16,75,14,5,2,5,59,2016,0.4,9.1,25
Gerald Green,230,587,84,260,72,92,163,56,38,19,46,616,2016,1.7,10.1,123
Goran Dragic,417,875,64,205,120,165,277,419,71,17,185,1018,2016,4.7,15.5,188
Luol Deng,339,746,88,257,145,192,443,140,74,29,81,911,2016,6.4,15,122
