Rajon Rondo,PG,29,SAC,72
Eric Moreland,PF,24,SAC,8
Ben McLemore,SG,22,SAC,68
Kosta Koufos,C,26,SAC,78
Rudy Gay,SF,29,SAC,70
Duje Dukan,SF,24,SAC,1
Seth Curry,PG,25,SAC,44
DeMarcus Cousins,C,25,SAC,65
Darren Collison,PG,28,SAC,74
Willie Cauley-Stein,C,22,SAC,66
Omri Casspi,SF,27,SAC,69
Caron Butler,SF,35,SAC,17
Marco Belinelli,SG,29,SAC,68
James Anderson,SG,26,SAC,51
Quincy Acy,PF,25,SAC,59
David West,PF,35,SAS,78
Jonathon Simmons,SG,26,SAS,55
Tony Parker,PG,33,SAS,72
Patrick Mills,PG,27,SAS,81
Boban Marjanovic,C,27,SAS,54
Kawhi Leonard,SF,24,SAS,72
Danny Green,SG,28,SAS,79
Manu Ginobili,SG,38,SAS,58
Tim Duncan,C,39,SAS,61
Boris Diaw,PF,33,SAS,76
Rasual Butler,SF,36,SAS,46
Matt Bonner,C,35,SAS,30
Kyle Anderson,SF,22,SAS,78
LaMarcus Aldridge,PF,30,SAS,74
Delon Wright,PG,23,TOR,27
Jonas Valanciunas,C,23,TOR,60
Luis Scola,PF,35,TOR,76
Terrence Ross,SF,24,TOR,73
Norman Powell,SG,22,TOR,49
Patrick Patterson,PF,26,TOR,79
Lucas Nogueira,C,23,TOR,29
Kyle Lowry,PG,29,TOR,77
Cory Joseph,SG,24,TOR,80
James Johnson,PF,28,TOR,57
DeMar DeRozan,SG,26,TOR,78
DeMarre Carroll,SF,29,TOR,26
Bruno Caboclo,SF,20,TOR,6
Bismack Biyombo,C,23,TOR,82
Anthony Bennett,PF,22,TOR,19
Jeff Withey,C,25,UTA,51
Tibor Pleiss,C,26,UTA,12
J.J. O'Brien,SF,23,UTA,2
Raul Neto,PG,23,UTA,81
Elijah Millsap,SG,28,UTA,20
Trey Lyles,PF,20,UTA,80
Chris Johnson,SF,25,UTA,70
Joe Ingles,SF,28,UTA,81
Rodney Hood,SG,23,UTA,79
Gordon Hayward,SF,25,UTA,80
Rudy Gobert,C,23,UTA,61
Derrick Favors,PF,24,UTA,62
Alec Burks,SG,24,UTA,31
Trey Burke,PG,23,UTA,64
Trevor Booker,PF,28,UTA,79
John Wall,PG,25,WAS,77
Garrett Temple,SF,29,WAS,80
Ramon Sessions,PG,29,WAS,82
Otto Porter,SF,22,WAS,75
Kelly Oubre,SF,20,WAS,63
Gary Neal,SG,31,WAS,40
Nene Hilario,PF,33,WAS,57
Marcin Gortat,C,31,WAS,75
Drew Gooden,PF,34,WAS,30
Jarell Eddie,SF,24,WAS,26
Jared Dudley,PF,30,WAS,81
DeJuan Blair,C,26,WAS,29
Bradley Beal,SG,22,WAS,55
Alan Anderson,SG,33,WAS,13
Steve Smith,SG,26,ATL,80
Ken Norman,SF,31,ATL,34
Howard Nathan,PG,24,ATL,5
Grant Long,PF,29,ATL,82
Tim Kempton,PF,32,ATL,3
Reggie Jordan,PG,28,ATL,24
Alan Henderson,PF,23,ATL,79
Craig Ehlo,SG,34,ATL,79
Matt Bullard,PF,28,ATL,46
Donnie Boyce,SG,22,ATL,8
Mookie Blaylock,PG,28,ATL,81
Stacey Augmon,SF,27,ATL,77
Eric Williams,SF,23,BOS,64
David Wesley,PG,25,BOS,82
Larry Sykes,PF,22,BOS,1
Doug Smith,PF,26,BOS,17
Dino Radja,PF,28,BOS,53
Eric Montross,C,24,BOS,61
Greg Minor,SG,24,BOS,78
Thomas Hamilton,C,20,BOS,11
Rick Fox,SF,26,BOS,81
Pervis Ellison,C,28,BOS,69
